selected_text,analyzed_polarity,sentiment_class
"I`d have responded, if I were going",0.0,neutral
Sooo SAD,-0.5,negative
bullying me,0.0,neutral
leave me alone,0.0,neutral
"Sons of ****,",0.0,neutral
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1.0,positive
fun,0.3,positive
Soooo high,0.16,positive
Both of you,0.0,neutral
Wow... u just became cooler.,0.1,positive
"as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",0.2,positive
like,0.0,neutral
DANGERously,-0.6,negative
lost,0.0,neutral
test test from the LG enV2,0.0,neutral
"Uh oh, I am sunburned",0.0,neutral
*sigh*,0.0,neutral
sick,-0.7142857142857143,negative
onna,0.0,neutral
Hes just not that into you,0.0,neutral
"oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",0.3333333333333333,positive
interesting.,0.5,positive
is cleaning the house for her family who is comming later today..,0.0,neutral
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,0.0,neutral
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,-0.3125,negative
"the free fillin` app on my ipod is fun, im addicted",0.09999999999999998,positive
I`m sorry.,-0.5,negative
.no internet,0.0,neutral
fun,0.3,positive
Power back up not working too,0.0,neutral
Quite....heavenly,0.0,neutral
hope,0.0,neutral
well so much for being unhappy for about 10 minute,-0.19999999999999998,negative
funny.,0.25,positive
"Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",0.3,positive
"Thats it, its the end. Tears for Fears",0.0,neutral
miss,0.0,neutral
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",0.11818181818181818,positive
soooooo sleeeeepy!!!,0.0,neutral
A little happy fo,0.30625,positive
"Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",-0.13333333333333333,negative
avid fan of,0.25,positive
MAYDAY?!,0.0,neutral
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",-0.19999999999999993,negative
I love to!,0.625,positive
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,0.1,positive
SUCKKKKKK,0.0,neutral
:visiting my friendster and facebook,0.0,neutral
dont like go,0.0,neutral
d I`m not thrilled at all with mine.,-0.3,negative
Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,-0.4625,negative
"also bored at school, its my third freelesson( freistunde )",-0.25,negative
hm... Both of us I guess...,0.0,neutral
it is ****...u have dissappointed me that past few days,-0.225,negative
romance zero is funny,0.25,positive
I`d rather do the early run..but I am a morning runner,0.1,positive
hurts,0.0,neutral
will be back later.,0.0,neutral
Torn ace of hearts,0.0,neutral
what fun are you speaking of?,0.3,positive
"i lost all my friends, i`m alone and sleepy..",0.0,neutral
haha yes,0.2,positive
I give in to easily,0.43333333333333335,positive
favorite,0.5,positive
jealous..,0.0,neutral
Is at a photoshoot.,0.0,neutral
s awesome,1.0,positive
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,0.2857142857142857,positive
Chilliin,0.0,neutral
"If you know such agent, do let me know",0.0,neutral
I still smell of smoke  #kitchenfire,0.0,neutral
better,0.5,positive
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",0.0,neutral
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",0.0,neutral
she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,0.875,positive
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,0.25,positive
BADDD.,0.0,neutral
My sources say no,0.0,neutral
I am sooo tired,-0.4,negative
"Hey, you change your twitter account, and you didn`t even tell me...",0.0,neutral
THANK YYYYYYYYYOOOOOOOOOOUUUUU!,0.0,neutral
lucky,0.3333333333333333,positive
fell asleep waiting for my ride!,0.0,neutral
Sick.,-0.7142857142857143,negative
", sorry guys",-0.5,negative
Happy Star Wars day everyone! and Enjoy the holiday (UK),0.7,positive
Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,0.05000000000000002,positive
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",0.23095238095238094,positive
i miss you bby,0.0,neutral
cool,0.35,positive
Love it there,0.5,positive
_Mounce yes and it lasts way past my bedtime!,-0.3125,negative
